127.0.0.1 - - [12/Feb/2019:09:55:17 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:55:23 +0900] "GET /WebProj5/ HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:55:39 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:55:48 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:55:48 +0900] "GET /WebProj5/css/style.css HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:55:57 +0900] "POST /WebProj5/HelloStrutsAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:00 +0900] "POST /WebProj5/WelcomeAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:04 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:13 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:22 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:37 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:42 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:49 +0900] "GET /WebProj5/TestAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0?username=aaa&password=bbb HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [12/Feb/2019:09:56:56 +0900] "POST /WebProj5/TestAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:00:47 +0900] "POST /WebProj5/HelloStrutsAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:00:54 +0900] "POST /WebProj5/WelcomeAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:00:57 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:01 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:10 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:25 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:32 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:37 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:01:49 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:02:10 +0900] "GET /WebProj5/TestAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0?username=qq&password=ww HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:02:17 +0900] "POST /WebProj5/TestAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:02:27 +0900] "POST /WebProj5/WelcomeAction.action;jsessionid=22791E04C863DDD5845CBA2426EEAAC0 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Feb/2019:10:02:34 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 550
